categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Clube de Literatura Clássica,69,,Os Lusíadas,Luís de Camões,Clube de Literatura Clássica,,
Clube de Literatura Clássica,70,,Castro,António Ferreira,Clube de Literatura Clássica,,
Clube de Literatura Clássica,71,,Oréstia,Ésquilo,Clube de Literatura Clássica,,
Clube de Literatura Clássica,72,,A Vingança de Agamenom,Henrique Aires Vitória,Clube de Literatura Clássica,,
Clube de Literatura Clássica,73,,Fausto Ilustrado,August von Kreling,Clube de Literatura Clássica,,
Bravo 100 Essenciais Brasileiros,1,,Dom Casmurro,Machado de Assis,,,
Bravo 100 Essenciais Brasileiros,2,,Memórias póstumas de Brás Cubas,Machado de Assis,,,
Bravo 100 Essenciais Brasileiros,3,,Vidas Secas,Graciliano Ramos,,,
Bravo 100 Essenciais Brasileiros,4,,Grande Sertão: Veredas,João Guimarães Rosa,,,
Bravo 100 Essenciais Brasileiros,5,,Morte e Vida Severina e Outros Poemas Para Vozes,João Cabral de Melo Neto,,,
Bravo 100 Essenciais Brasileiros,6,,O Cortiço,Aluísio Azevedo,,,
Bravo 100 Essenciais Brasileiros,7,,O Continente - Volume I,Erico Verissimo,,,
Bravo 100 Essenciais Brasileiros,8,,Memórias de um sargento de milícias,Manuel Antônio de Almeida,,,
Bravo 100 Essenciais Brasileiros,9,,O Triste Fim de Policarpo Quaresma,Lima Barreto,,,
Bravo 100 Essenciais Brasileiros,10,,Noite na Taverna,Álvares de Azevedo,,,
Bravo 100 Essenciais Brasileiros,11,,Lavoura arcaica,Raduan Nassar,,,
Bravo 100 Essenciais Brasileiros,12,,Laços de Família,Clarice Lispector,,,
Bravo 100 Essenciais Brasileiros,13,,A Paixão Segundo G.H.,Clarice Lispector,,,
Bravo 100 Essenciais Brasileiros,14,,São Bernardo,Graciliano Ramos,,,
Bravo 100 Essenciais Brasileiros,15,,O Quinze,Rachel de Queiroz,,,
Bravo 100 Essenciais Brasileiros,16,,Capitães da areia,Jorge Amado,,,
Bravo 100 Essenciais Brasileiros,17,,A Obscena Senhora D,Hilda Hilst,,,
Bravo 100 Essenciais Brasileiros,18,,As Meninas,Lygia Fagundes Telles,,,
Bravo 100 Essenciais Brasileiros,19,,Morangos mofados,Caio Fernando Abreu,,,
Bravo 100 Essenciais Brasileiros,20,,O Encontro Marcado,Fernando Sabino,,,
Bravo 100 Essenciais Brasileiros,21,,O Picapau Amarelo,Monteiro Lobato,,,
Bravo 100 Essenciais Brasileiros,22,,"Gabriela, Cravo e Canela",Jorge Amado,,,
Bravo 100 Essenciais Brasileiros,23,,A Rosa do Povo,Carlos Drummond de Andrade,,,
Bravo 100 Essenciais Brasileiros,24,,Lira Dos Vinte Anos,Álvares de Azevedo,,,
Bravo 100 Essenciais Brasileiros,25,,Seminário dos Ratos,Lygia Fagundes Telles,,,
Bravo 100 Essenciais Brasileiros,26,,O Guarani,José de Alencar,,,
Bravo 100 Essenciais Brasileiros,27,,A vida como ela é...: o homem fiel e outros contos,Nelson Rodrigues,,,
Bravo 100 Essenciais Brasileiros,28,,Macunaíma,Mário de Andrade,,,
Bravo 100 Essenciais Brasileiros,29,,A Moreninha,Joaquim Manuel de Macedo,,,
Bravo 100 Essenciais Brasileiros,30,,Marília de Dirceu,Tomás Antônio Gonzaga,,,
Bravo 100 Essenciais Brasileiros,31,,Um Copo de Cólera,Raduan Nassar,,,
Bravo 100 Essenciais Brasileiros,32,,Sagarana,João Guimarães Rosa,,,
Bravo 100 Essenciais Brasileiros,33,,Fogo Morto,José Lins do Rego,,,
Bravo 100 Essenciais Brasileiros,34,,I-Juca Pirama,Gonçalves Dias,,,
Bravo 100 Essenciais Brasileiros,35,,Lucíola,José de Alencar,,,
Bravo 100 Essenciais Brasileiros,36,,200 Crônicas Escolhidas,Rubem Braga,,,
