categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,80,,Morangos mofados,Caio Fernando Abreu,,,https://www.goodreads.com/book/show/716066.Morangos_mofados
Best Literature in Portuguese,81,,A Dança Das Borboletas,Wenceslau de Moraes,,,https://www.goodreads.com/book/show/9202159-a-dan-a-das-borboletas
Best Literature in Portuguese,82,,O Guarda da Praia,Maria Teresa Maia Gonzalez,,,https://www.goodreads.com/book/show/1830570.O_Guarda_da_Praia
Best Literature in Portuguese,83,,Água Viva,Clarice Lispector,,,https://www.goodreads.com/book/show/56587579-gua-viva
Best Literature in Portuguese,84,,A Ordem Natural das Coisas,António Lobo Antunes,,,https://www.goodreads.com/book/show/71580.The_Natural_Order_of_Things
Best Literature in Portuguese,85,,Dois Irmãos,Milton Hatoum,,,https://www.goodreads.com/book/show/993737.The_Brothers
Best Literature in Portuguese,86,,A Desumanização,Valter Hugo Mãe,,,https://www.goodreads.com/book/show/18465804-a-desumaniza-o
Best Literature in Portuguese,87,,O Que Diz Molero,Dinis Machado,,,https://www.goodreads.com/book/show/9471605-o-que-diz-molero
Best Literature in Portuguese,88,,No País das Porcas Saras,Fernando Évora,,,https://www.goodreads.com/book/show/10350986-no-pa-s-das-porcas-saras
Best Literature in Portuguese,89,,Noites do Sertão,João Guimarães Rosa,,,https://www.goodreads.com/book/show/4476100-noites-do-sert-o
Best Literature in Portuguese,90,,As Antigas e Novas Andanças do Demónio,Jorge de Sena,,,https://www.goodreads.com/book/show/8497468-as-antigas-e-novas-andan-as-do-dem-nio
Best Literature in Portuguese,91,,A Costa dos Murmúrios,Lídia Jorge,,,https://www.goodreads.com/book/show/3371637-a-costa-dos-murm-rios
Best Literature in Portuguese,92,,Primeiras Estórias,João Guimarães Rosa,,,https://www.goodreads.com/book/show/2260392.Primeiras_Est_rias
Best Literature in Portuguese,93,,Paardenschaduw op zee,António Lobo Antunes,,,https://www.goodreads.com/book/show/13366947-paardenschaduw-op-zee
Best Literature in Portuguese,94,,Para Sempre,Vergílio Ferreira,,,https://www.goodreads.com/book/show/7657773-para-sempre
Best Literature in Portuguese,95,,Memorial do Convento,José Saramago,,,https://www.goodreads.com/book/show/879188.Memorial_do_Convento
Best Literature in Portuguese,96,,"Amar, Verbo Intransitivo: Idílio",Mário de Andrade,,,https://www.goodreads.com/book/show/20929174-amar-verbo-intransitivo
Best Literature in Portuguese,97,,Laços de Família,Clarice Lispector,,,https://www.goodreads.com/book/show/10410797-la-os-de-fam-lia
Best Literature in Portuguese,98,,Os Passos em Volta,Herberto Helder,,,https://www.goodreads.com/book/show/6344152-os-passos-em-volta
Best Literature in Portuguese,99,,Uma Aprendizagem ou O Livro dos Prazeres,Clarice Lispector,,,https://www.goodreads.com/book/show/2728420-uma-aprendizagem-ou-o-livro-dos-prazeres
Best Literature in Portuguese,101,,Para Onde Vão Os Guarda-Chuvas,Afonso Cruz,,,https://www.goodreads.com/book/show/18591734-para-onde-v-o-os-guarda-chuvas
Best Literature in Portuguese,102,,O Manual dos Inquisidores,António Lobo Antunes,,,https://www.goodreads.com/book/show/71582.The_Inquisitors_Manual
